Index,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7
1,PHQ,,,,,,
2,"Ranges, Commissionerate and Districts",,,,,,
2.1.,,Gurugram Commissionerate,,,,,
2.1.1.,,,Gurugram District,,,,
2.1.1.1.,,,,CP Office,,,
2.1.1.2.,,,,Joint CP Office,,,
2.1.1.3.,,,,Zones,,,
2.5.1.2.1.24.,,,,,,Naib Court (Civil),
2.5.1.2.1.25.,,,,,,Pairvi Cell,
2.5.1.2.1.26.,,,,,,PO STAFF,
2.5.1.2.1.27.,,,,,,Police Lines,
2.5.1.2.1.28.,,,,,,Prisoner Escort Guard,
2.5.1.2.1.29.,,,,,,PS TRAFFIC,
2.5.1.2.1.30.,,,,,,Standing Guard,
2.5.1.2.1.31.,,,,,,Summon Staff,
2.5.1.2.1.32.,,,,,,Temporary Posting (with order),
2.5.1.2.1.33.,,,,,,Temporary Posting (without order),
2.5.1.2.1.34.,,,,,,TRAFFIC,
2.5.1.2.1.35.,,,,,,Training Courses,
2.5.1.2.2.,,,,,Bahadurgarh Zone,,
